"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"up","GO:0001666","response to hypoxia","20/80","187/7103",0.106951871657754,9.49598930481283,12.5655430168552,8.26782063141023e-15,1.48252044955005e-12,1.32485869392526e-12,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G72330/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820",20
"up","GO:0036293","response to decreased oxygen levels","20/80","188/7103",0.106382978723404,9.44547872340426,12.5250969971907,9.17598552233521e-15,1.48252044955005e-12,1.32485869392526e-12,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G72330/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820",20
"up","GO:0070482","response to oxygen levels","20/80","189/7103",0.105820105820106,9.39550264550265,12.484952965263,1.01774859236846e-14,1.48252044955005e-12,1.32485869392526e-12,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G72330/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820",20
"up","GO:0036294","cellular response to decreased oxygen levels","19/80","171/7103",0.111111111111111,9.86527777777778,12.5237710461439,2.12005191806144e-14,1.54410448032142e-12,1.3798934414049e-12,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820",19
"up","GO:0071453","cellular response to oxygen levels","19/80","171/7103",0.111111111111111,9.86527777777778,12.5237710461439,2.12005191806144e-14,1.54410448032142e-12,1.3798934414049e-12,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820",19
"up","GO:0071456","cellular response to hypoxia","19/80","171/7103",0.111111111111111,9.86527777777778,12.5237710461439,2.12005191806144e-14,1.54410448032142e-12,1.3798934414049e-12,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820",19
"up","GO:0009617","response to bacterium","13/80","339/7103",0.0383480825958702,3.40483038348083,4.84235353035414,9.15872749340289e-05,0.00571766273516723,0.00510960586474056,"AT1G21110/AT1G21120/AT1G26380/AT1G66700/AT1G68765/AT3G10930/AT3G46080/AT3G56710/AT4G28460/AT5G15090/AT5G24110/AT5G27420/AT5G57220",13
"up","GO:0042742","defense response to bacterium","11/80","262/7103",0.0419847328244275,3.72771946564885,4.80136305805311,0.000152376828690792,0.00740765554401158,0.00661987283350186,"AT1G21110/AT1G21120/AT1G26380/AT1G66700/AT1G68765/AT3G10930/AT3G56710/AT4G28460/AT5G24110/AT5G27420/AT5G57220",11
"up","GO:0032259","methylation","5/80","46/7103",0.108695652173913,9.6508152173913,6.282028262309,0.000152560411661566,0.00740765554401158,0.00661987283350186,"AT1G21100/AT1G21110/AT1G21120/AT1G21130/AT1G66700",5
"up","GO:0000302","response to reactive oxygen species","7/80","106/7103",0.0660377358490566,5.86332547169811,5.3839909855935,0.000175483850786837,0.00766864427938476,0.0068531061728333,"AT1G05680/AT1G75270/AT3G10930/AT4G02380/AT4G17490/AT5G24110/AT5G24640",7
