"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"up","GO:0098660","inorganic ion transmembrane transport","5/37","47/3843",0.106382978723404,11.0494537090282,6.83397571933577,7.16025406877874e-05,0.0239868511304088,0.0223852153518662,"AT1G05300/AT1G64170/AT2G39210/AT3G45060/AT5G50200",5
"up","GO:0006952","defense response","12/37","383/3843",0.031331592689295,3.25425164067462,4.58362291926816,0.000148069005695407,0.0248015584539808,0.0231455235218611,"AT1G18570/AT1G64170/AT2G15890/AT2G24570/AT2G26020/AT4G39260/AT5G40780/AT5G44575/AT5G44585/AT5G44910/AT5G51450/AT5G64120",12
"up","GO:0055085","transmembrane transport","8/37","185/3843",0.0432432432432432,4.49145361577794,4.79860984546758,0.000287206581198645,0.032071401567182,0.0299299489880693,"AT1G05300/AT1G64170/AT2G39210/AT3G45060/AT4G21120/AT5G26340/AT5G40780/AT5G50200",8
"down","GO:0032544","plastid translation","2/10","13/3843",0.153846153846154,59.1230769230769,10.7208731327908,0.000468242396308512,0.020285842212978,0.0141848370361425,"AT1G09340/AT3G63140",2
"down","GO:0045893","positive regulation of DNA-templated transcription","3/10","68/3843",0.0441176470588235,16.9544117647059,6.779318616562,0.000581931769387532,0.020285842212978,0.0141848370361425,"AT1G09340/AT1G73870/AT3G63140",3
"down","GO:1902680","positive regulation of RNA biosynthetic process","3/10","68/3843",0.0441176470588235,16.9544117647059,6.779318616562,0.000581931769387532,0.020285842212978,0.0141848370361425,"AT1G09340/AT1G73870/AT3G63140",3
"down","GO:0051247","positive regulation of protein metabolic process","2/10","17/3843",0.117647058823529,45.2117647058824,9.33037499071176,0.000811896411457016,0.020285842212978,0.0141848370361425,"AT1G09340/AT3G63140",2
"down","GO:0051254","positive regulation of RNA metabolic process","3/10","79/3843",0.0379746835443038,14.5936708860759,6.23497562504477,0.000904415418011779,0.020285842212978,0.0141848370361425,"AT1G09340/AT1G73870/AT3G63140",3
"down","GO:0010628","positive regulation of gene expression","2/10","18/3843",0.111111111111111,42.7,9.05661400523175,0.000912114815893134,0.020285842212978,0.0141848370361425,"AT1G09340/AT3G63140",2
"down","GO:0045935","positive regulation of nucleobase-containing compound metabolic process","3/10","83/3843",0.036144578313253,13.8903614457831,6.06344565558258,0.00104504382953682,0.020285842212978,0.0141848370361425,"AT1G09340/AT1G73870/AT3G63140",3
"down","GO:0010557","positive regulation of macromolecule biosynthetic process","3/10","86/3843",0.0348837209302326,13.4058139534884,5.94241752165826,0.00115919098359874,0.020285842212978,0.0141848370361425,"AT1G09340/AT1G73870/AT3G63140",3
"down","GO:0006417","regulation of translation","2/10","27/3843",0.0740740740740741,28.4666666666667,7.31463949616248,0.00206648364079344,0.0293165959593238,0.0204995746181738,"AT1G09340/AT3G63140",2
"down","GO:0009891","positive regulation of biosynthetic process","3/10","107/3843",0.0280373831775701,10.7747663551402,5.23725971465621,0.00218386481235282,0.0293165959593238,0.0204995746181738,"AT1G09340/AT1G73870/AT3G63140",3
"down","GO:0010604","positive regulation of macromolecule metabolic process","3/10","109/3843",0.0275229357798165,10.5770642201835,5.18045329287526,0.00230344682537544,0.0293165959593238,0.0204995746181738,"AT1G09340/AT1G73870/AT3G63140",3
"down","GO:0007623","circadian rhythm","2/10","39/3843",0.0512820512820513,19.7076923076923,5.99710342003999,0.0042903960965128,0.0462042656547532,0.0323082459089628,"AT1G09340/AT3G63140",2
"down","GO:0048511","rhythmic process","2/10","39/3843",0.0512820512820513,19.7076923076923,5.99710342003999,0.0042903960965128,0.0462042656547532,0.0323082459089628,"AT1G09340/AT3G63140",2
"down","GO:0009893","positive regulation of metabolic process","3/10","140/3843",0.0214285714285714,8.235,4.45384365650796,0.00470425396823446,0.0470425396823446,0.032894407447053,"AT1G09340/AT1G73870/AT3G63140",3
"down","GO:0005996","monosaccharide metabolic process","2/10","43/3843",0.0465116279069767,17.8744186046512,5.68303745821379,0.00519937783880549,0.0485275264955179,0.0339327816848358,"AT1G09340/AT3G63140",2
