"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"up","GO:0002239","response to oomycetes","2/2","49/6003",0.0408163265306122,122.510204081633,15.5904106685868,6.52789233507206e-05,0.00293755155078242,0.0011681491546971,"AT4G02520/AT5G24530",2
"up","GO:0009696","salicylic acid metabolic process","1/2","23/6003",0.0434782608695652,130.5,11.3588476446621,0.00764879139903551,0.0494170800945095,0.0196512365288108,"AT5G24530",1
"up","GO:0072329","monocarboxylic acid catabolic process","1/2","26/6003",0.0384615384615385,115.442307692308,10.6753674540509,0.00864429498013397,0.0494170800945095,0.0196512365288108,"AT5G24530",1
"up","GO:0009407","toxin catabolic process","1/2","29/6003",0.0344827586206897,103.5,10.1004665613064,0.00963929897763527,0.0494170800945095,0.0196512365288108,"AT4G02520",1
"up","GO:0018958","phenol-containing compound metabolic process","1/2","30/6003",0.0333333333333333,100.05,9.92818885710231,0.00997085595822567,0.0494170800945095,0.0196512365288108,"AT5G24530",1
"up","GO:0002229","defense response to oomycetes","1/2","31/6003",0.032258064516129,96.8225806451613,9.76427472843945,0.0103023574295268,0.0494170800945095,0.0196512365288108,"AT5G24530",1
"up","GO:0010043","response to zinc ion","1/2","32/6003",0.03125,93.796875,9.60806615890045,0.0106338033915397,0.0494170800945095,0.0196512365288108,"AT4G02520",1
"up","GO:0042537","benzene-containing compound metabolic process","1/2","34/6003",0.0294117647058824,88.2794117647059,9.31647578823169,0.0112965287876997,0.0494170800945095,0.0196512365288108,"AT5G24530",1
"up","GO:0009813","flavonoid biosynthetic process","1/2","39/6003",0.0256410256410256,76.9615384615385,8.68777206488306,0.0129523708655503,0.0494170800945095,0.0196512365288108,"AT5G24530",1
"up","GO:0006749","glutathione metabolic process","1/2","40/6003",0.025,75.0375,8.57631090755089,0.0132833727532542,0.0494170800945095,0.0196512365288108,"AT4G02520",1
"up","GO:0009404","toxin metabolic process","1/2","40/6003",0.025,75.0375,8.57631090755089,0.0132833727532542,0.0494170800945095,0.0196512365288108,"AT4G02520",1
"up","GO:0046686","response to cadmium ion","1/2","41/6003",0.024390243902439,73.2073170731707,8.46892586563365,0.0136143191316704,0.0494170800945095,0.0196512365288108,"AT4G02520",1
"up","GO:0009812","flavonoid metabolic process","1/2","43/6003",0.0232558139534884,69.8023255813954,8.26542892952541,0.0142760453606361,0.0494170800945095,0.0196512365288108,"AT5G24530",1
