"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001666","response to hypoxia","22/99","187/7103",0.117647058823529,8.44087938205585,12.2589264143721,5.07637346632515e-15,7.48080803460607e-13,6.76164549053766e-13,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G72330/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820/AT1G43800/AT5G24530",22
"GO:0036293","response to decreased oxygen levels","22/99","188/7103",0.117021276595745,8.39598108747045,12.218376034848,5.68820610553158e-15,7.48080803460607e-13,6.76164549053766e-13,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G72330/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820/AT1G43800/AT5G24530",22
"GO:0070482","response to oxygen levels","22/99","189/7103",0.116402116402116,8.35155790711346,12.1781258984521,6.36930618592258e-15,7.48080803460607e-13,6.76164549053766e-13,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G72330/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820/AT1G43800/AT5G24530",22
"GO:0036294","cellular response to decreased oxygen levels","21/99","171/7103",0.12280701754386,8.81109339004076,12.291799598505,9.61131653268446e-15,7.48080803460607e-13,6.76164549053766e-13,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820/AT1G43800/AT5G24530",21
"GO:0071453","cellular response to oxygen levels","21/99","171/7103",0.12280701754386,8.81109339004076,12.291799598505,9.61131653268446e-15,7.48080803460607e-13,6.76164549053766e-13,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820/AT1G43800/AT5G24530",21
"GO:0071456","cellular response to hypoxia","21/99","171/7103",0.12280701754386,8.81109339004076,12.291799598505,9.61131653268446e-15,7.48080803460607e-13,6.76164549053766e-13,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820/AT1G43800/AT5G24530",21
"GO:0009617","response to bacterium","17/99","339/7103",0.0501474926253687,3.59795596078782,5.82726404216914,3.56036840680788e-06,0.000237527435139897,0.000214692891899242,"AT1G21110/AT1G21120/AT1G26380/AT1G66700/AT1G68765/AT3G10930/AT3G46080/AT3G56710/AT4G28460/AT5G15090/AT5G24110/AT5G27420/AT5G57220/AT2G45220/AT4G10500/AT4G12500/AT5G24530",17
"GO:0009620","response to fungus","13/99","208/7103",0.0625,4.48421717171717,6.06323794000061,5.37682379504957e-06,0.000313872089036019,0.000283698202870379,"AT1G66700/AT1G76600/AT4G15760/AT5G05190/AT5G08790/AT5G57220/AT2G14560/AT2G38240/AT2G45220/AT3G09940/AT3G55970/AT4G10500/AT5G24530",13
"GO:0009751","response to salicylic acid","10/99","123/7103",0.0813008130081301,5.83312802824998,6.42817966505376,7.12804817696983e-06,0.000369866499849434,0.000334309627949111,"AT1G66700/AT1G75270/AT1G76680/AT2G03760/AT5G05190/AT5G08790/AT5G24110/AT2G14560/AT4G10500/AT5G24530",10
"GO:0042742","defense response to bacterium","14/99","262/7103",0.0534351145038168,3.83383452849102,5.55648569517347,1.39461410855348e-05,0.000651284788694477,0.000588673955294681,"AT1G21110/AT1G21120/AT1G26380/AT1G66700/AT1G68765/AT3G10930/AT3G56710/AT4G28460/AT5G24110/AT5G27420/AT5G57220/AT2G45220/AT4G12500/AT5G24530",14
