"tx_id","gene","baseMean","log2FoldChange","padj","neglog10padj","sig"
"fd90868a-e3e0-4cb7-856d-b1433129bae0_AT1G01120","AT1G01120",42.1070192534986,-3.47876391328927e-06,0.999696300469192,0.000131915062671958,FALSE
"5a003d3f-cb06-48da-928a-2625410ff964_Chr1:63000","Chr1:63000",2.83421731384733,4.44198683554648e-07,NA,NA,FALSE
"5f3569af-969a-4ffa-a889-bf698e0bedaa_Chr1:64000","Chr1:64000",1.24244257310841,1.81486455228999e-07,NA,NA,FALSE
"da005a59-f723-474b-8a03-0039bf6f033f_Chr1:73000","Chr1:73000",4.10330626711849,-1.75008224079474e-05,NA,NA,FALSE
"43ba5882-6ac4-47c4-b0f9-9a38c3e29452_Chr1:75000","Chr1:75000",0.918059155245311,-8.02949072084599e-08,NA,NA,FALSE
"8bec7dca-3446-4d32-a571-43ef4041162b_AT1G01180","AT1G01180",3.65274236052251,-1.37117551932273e-06,NA,NA,FALSE
"63ded3f1-6da6-4488-86c4-34119943e1b4_AT1G01250","AT1G01250",1.80711674788304,-3.226025212997e-07,NA,NA,FALSE
"a49180a5-b521-4bf4-84cf-154a087624c5_AT1G01260","AT1G01260",1.016329010466,-2.28709781706208e-07,NA,NA,FALSE
"1d96dfc9-6317-4996-a548-4896e1cee891_G43","G43",45.8297679504937,2.02260195645372e-09,0.999696300469192,0.000131915062671958,FALSE
"3cda2218-ce2f-4104-8818-8195e1533424_AT1G01390","AT1G01390",0.879484198093565,4.50967750482531e-07,NA,NA,FALSE
"c8115ac4-5f21-44aa-b421-f369e8422e5d_Chr1:154000","Chr1:154000",1.38007212401826,-6.82956294327418e-07,NA,NA,FALSE
"c2f7932c-28c0-41a0-a1ed-592939c1ced9_AT1G01420","AT1G01420",1.49190351834433,-3.19660491219641e-07,NA,NA,FALSE
"3a31cefd-6a92-4a38-883b-dd07b9ef4326_Chr1:172000","Chr1:172000",3.21957626502011,-6.13702152710813e-07,NA,NA,FALSE
